"hashtag","extracted_location","positive","negative","neutral","trust","anticipation","fear","sadness","joy","anger","suprise","disgust","total_positive","total_negative"
"####","united kingdom",2,1,0,0,0,1,1,0,0,0,0,2,3
"####EU",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"###Pfizer",NA,1,0,0,1,2,0,1,1,0,1,0,4,3
"##COVIDarm",NA,1,1,0,0,0,0,0,0,0,0,1,1,2
"##kalingatv","india",1,0,0,0,1,0,0,0,0,0,0,1,1
"##moderna",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"##Narendramodi","india",1,0,0,0,1,0,0,1,0,0,0,2,1
"##Sinopharm","china",1,0,0,0,1,0,0,0,0,0,0,1,1
"#$1.6B","greece",1,0,0,1,1,0,0,1,1,1,0,4,1
"#$60,000","united states",0,2,0,0,0,1,1,0,2,0,0,0,4
"#$BB","united states",1,1,0,1,1,1,0,0,0,0,0,2,3
"#$OCGN",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#&amp;knuckles",NA,1,0,0,0,1,0,0,0,0,0,0,1,1
"#,#GameFraud",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#,#uk","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#,Pfizer","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#??",NA,2,1,3,0,0,1,1,0,1,1,0,3,3
"#???",NA,1,1,4,0,0,1,1,0,1,1,0,2,3
"#????","afghanistan",1,0,0,0,0,0,0,0,0,0,0,1,0
"#????","india",1,0,0,0,0,0,1,1,0,0,0,2,1
"#????",NA,6,2,4,0,1,2,2,1,2,3,0,10,7
"#????.","india",1,0,0,0,0,0,1,1,0,0,0,2,1
"#????.",NA,3,0,0,0,0,0,0,0,0,0,0,3,0
"#?????",NA,1,3,3,1,3,2,2,1,2,3,2,6,12
"#??????","thailand",0,0,1,0,0,0,0,0,0,0,0,0,0
"#??????",NA,1,1,4,0,2,0,0,0,0,0,0,1,3
"#??????.",NA,1,1,1,0,0,1,1,0,1,1,0,2,3
"#???????","thailand",0,0,1,0,0,0,0,0,0,0,0,0,0
"#???????",NA,16,0,8,0,4,0,0,4,0,4,0,24,4
"#????????","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#????????",NA,1,0,1,1,1,0,0,1,0,0,0,3,1
"#?????????",NA,4,1,1,0,0,1,1,0,1,1,0,5,3
"#???????????","india",1,0,1,0,0,0,0,0,0,0,0,1,0
"#???????????",NA,3,3,1,0,0,3,3,0,3,3,0,6,9
"#???????????.","india",0,0,0,0,1,0,0,0,0,0,0,0,1
"#???????????.",NA,0,0,0,1,3,0,0,0,1,0,0,1,3
"#????????????","united states",2,0,0,2,1,1,0,0,0,0,0,4,2
"#?????????????",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#????????????????","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#????????????????","united kingdom",0,0,1,0,0,0,0,0,0,0,0,0,0
"#?????????????????","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#??????????????????",NA,2,0,0,0,1,1,0,1,0,1,0,4,2
"#???????????????????",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#?????????????????????????????",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#???????????19","thailand",1,1,1,0,0,0,0,0,0,0,0,1,1
"#???????_????","united states",2,0,0,1,2,0,0,1,0,1,0,5,2
"#???????_????.",NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"#???????_?????.",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#???????ss???????s","india",1,1,0,0,0,1,1,0,1,1,0,2,3
"#???????ss???????s","united kingdom",1,0,0,0,0,0,0,0,0,0,0,1,0
"#???????ss???????s","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#???????ss???????s",NA,0,0,3,0,0,0,0,0,0,0,0,0,0
"#???????ss???????s.","united states",1,1,0,0,0,1,1,0,1,1,0,2,3
"#???????ss???????s.",NA,0,1,0,0,0,1,1,0,1,2,0,2,3
"#??????_?????","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#??????_??????","united arab emirates",1,0,0,0,0,0,0,0,0,0,0,1,0
"#?????_??",NA,0,1,0,0,0,0,1,0,0,0,1,0,3
"#?????_?????","united states",2,0,0,0,0,0,0,0,0,0,0,2,0
"#?????_?????",NA,0,1,0,0,0,0,1,0,0,0,1,0,3
"#?????_?????????_????","india",1,0,0,1,1,1,0,1,0,0,0,3,2
"#?????_?????????_????",NA,4,1,1,2,1,0,0,1,1,0,0,7,2
"#?????_????????_???????","india",0,2,0,0,0,1,1,0,0,0,1,0,5
"#?????_SAGA",NA,1,1,0,0,0,0,0,1,0,0,0,2,1
"#?????19","thailand",1,1,1,0,0,0,0,0,0,0,0,1,1
"#?????19",NA,0,0,0,1,3,0,0,0,1,0,0,1,3
"#????7????","thailand",0,1,0,0,1,2,0,0,2,0,0,0,4
"#???_????.","united states",0,1,0,0,1,1,1,0,1,0,1,0,5
"#???_?????_?????",NA,0,0,1,0,0,0,0,0,0,0,0,0,0
"#???_???_?????_?","united states",2,0,0,1,1,0,0,0,0,0,0,3,1
"#??_??????_??_?????_????","united states",0,1,0,0,1,1,1,0,1,0,1,0,5
"#??_????_????_????_?????",NA,0,2,0,0,0,1,2,0,0,0,0,0,5
"#??_???_??_???????",NA,1,1,0,0,0,1,2,0,1,0,0,1,4
"#??_??_???????","india",0,0,1,0,0,0,0,0,0,0,0,0,0
"#_modi_rojgar_do.",NA,1,0,0,1,0,0,0,0,0,0,0,2,0
"#1","georgia",1,2,0,0,0,2,2,0,1,1,0,2,6
"#1","india",3,0,0,0,1,0,0,1,0,1,0,5,1
"#1","israel",0,0,0,0,0,1,0,0,0,0,0,0,1
"#1","united kingdom",2,2,0,1,2,3,2,1,1,2,0,6,9
"#1","united states",21,26,2,10,5,19,19,7,13,11,6,49,75
"#1",NA,60,36,8,25,19,25,31,21,25,24,7,130,118
"#1)",NA,0,0,2,0,0,0,0,0,0,0,0,0,0
"#1)!",NA,0,2,0,0,0,1,2,0,1,1,0,1,5
"#1,","united states",0,2,1,0,0,2,2,0,3,1,1,1,7
"#1.","united states",10,9,0,3,2,12,7,1,5,5,0,19,30
"#1.",NA,4,2,1,3,2,2,2,2,2,4,1,13,9
"#1."".","united states",1,0,0,0,1,0,0,1,1,1,0,3,1
"#1...",NA,0,1,0,0,0,1,1,0,1,1,0,1,3
